OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
NC10,57.972872,-5.123781,0.125725855,4,0,1,0
NC14,58.351534,-5.148632,0.036928915,1,0,1,0
NC30,57.970596,-4.714286,0.395132964,1,0,1,0
NC31,58.09318,-4.800812,0.091187691,1,0,1,0
NC40,57.97827743,-4.574114,0.331932896,30,0,1,0
NC50,57.98496589,-4.448431111,0.344217971,11,0,1,0
NC80,57.97972683,-3.979017743,0.227357823,55,0,1,0
ND12,58.205566,-3.448031,0.023858554,1,0,1,0
ND13,58.30627467,-3.425108333,0.036390127,10,0,1,0
ND23,58.328266,-3.358274,0.086971396,1,0,1,0
ND35,58.445886,-3.080118,0.020440704,1,0,1,0
NG70,57.039119,-5.681441,0.112727217,1,0,1,0
NG72,57.292706,-5.6872585,0.402927503,4,0,1,0
NG73,57.31928483,-5.669191167,0.046788174,25,0,1,0
NG75,57.550468,-5.749665,0.105199087,1,0,1,0
NG82,57.2855155,-5.60186325,0.22979632,4,0,1,0
NG83,57.34742557,-5.594155167,0.341462748,50,0,1,0
NG84,57.4022938,-5.5895948,0.124623453,5,0,1,0
NG85,57.51557081,-5.644262,0.127952581,25,0,1,0
NG87,57.687324,-5.619447,0.496639711,1,0,1,0
NG88,57.77648,-5.599953889,0.053482486,13,0,1,0
NG93,57.39358633,-5.447400556,0.094929822,15,0,1,0
NG94,57.405375,-5.479969,0.099624464,2,0,1,0
NG97,57.683116,-5.4318955,0.044366928,6,0,1,0
NH04,57.48147825,-5.32490525,0.105661853,4,0,1,0
NH05,57.56467,-5.30615,0.175468408,1,0,1,0
NH06,57.5926,-5.303664,0.070460879,2,0,1,0
NH08,57.80946375,-5.26832325,0.003610231,4,0,1,0
NH10,57.067988,-5.017044333,0.265609346,3,0,1,0
NH15,57.5142925,-5.1232505,0.100516599,6,0,1,0
NH17,57.7665275,-5.034456,0.039423634,2,0,1,0
NH18,57.83240833,-5.130949385,0.145408254,57,0,1,0
NH19,57.88247193,-5.119864107,0.118094257,99,0,1,0
NH20,57.07016433,-4.834058467,0.328548945,23,0,1,0
NH22,57.2915501,-4.8541434,0.505031182,22,0,1,0
NH23,57.330863,-4.831411,0.110191581,1,0,1,0
NH25,57.5375095,-4.8737475,0.105084766,4,0,1,0
NH28,57.842238,-4.919887,0.017212943,3,0,1,0
NH30,57.11569207,-4.721714711,0.374431191,58,0,1,0
NH31,57.18047547,-4.6970352,0.391996911,17,0,1,0
NH32,57.31220256,-4.782780625,0.280873369,20,0,1,0
NH33,57.3673564,-4.698565,0.312278317,11,0,1,0
NH34,57.44719025,-4.7528665,0.035756863,4,0,1,0
NH35,57.5604771,-4.7642688,0.149955179,10,0,1,0
NH36,57.62834221,-4.747682,0.326806746,16,0,1,0
NH40,57.1363315,-4.6171625,0.030161686,5,0,1,0
NH41,57.21207375,-4.575760182,0.420334139,92,0,1,0
NH42,57.28345402,-4.513493932,0.28491969,96,0,1,0
NH43,57.3460715,-4.566352333,0.392145124,62,0,1,0
NH44,57.45533032,-4.5436658,0.299090156,98,0,1,0
NH45,57.56050687,-4.56998894,0.373741851,135,0,1,0
NH46,57.6218091,-4.5862017,0.358788144,11,0,1,0
NH47,57.7148185,-4.6451205,0.05139353,2,0,1,0
NH48,57.8456095,-4.5999565,0.136900388,2,0,1,0
NH49,57.9006745,-4.5655285,0.376305242,7,0,1,0
NH50,57.108203,-4.3771385,0.007740259,3,0,1,0
NH51,57.2288096,-4.4489406,0.09456933,6,0,1,0
NH52,57.29431618,-4.440373947,0.358523378,221,0,1,0
NH53,57.37045183,-4.394284035,0.417591511,157,0,1,0
NH54,57.47015142,-4.433853431,0.309971087,286,0,1,0
NH55,57.54282618,-4.444717237,0.212502391,145,0,1,0
NH56,57.6625162,-4.35823749,0.37155801,69,0,1,0
NH57,57.750152,-4.433753714,0.339940255,8,0,1,0
NH58,57.866977,-4.369233,0.139014266,1,0,1,0
NH59,57.92905172,-4.41945944,0.42483401,117,0,1,0
NH60,57.116058,-4.231043,0.003481014,1,0,1,0
NH62,57.32003563,-4.243575375,0.156247945,10,0,1,0
NH63,57.38905728,-4.228333197,0.463140515,104,0,1,0
