OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover (%),CountRed,CountGrey,Count,Red%,Grey%
NC10,57.972872,-5.123781,12.5725855,4,0,4,100,0
NC14,58.351534,-5.148632,3.6928915,1,0,1,100,0
NC30,57.970596,-4.714286,39.5132964,1,0,1,100,0
NC40,57.97683775,-4.57158035,33.1932896,29,0,29,100,0
NC50,57.98496589,-4.448431111,34.4217971,11,0,11,100,0
NC80,57.97630823,-3.983116419,22.7357823,50,0,50,100,0
ND13,58.32812,-3.371929,3.6390127,8,0,8,100,0
ND35,58.445886,-3.080118,2.0440704,1,0,1,100,0
NG70,57.039119,-5.681441,11.2727217,1,0,1,100,0
NG72,57.29039567,-5.676648333,40.2927503,3,0,3,100,0
NG73,57.31928483,-5.669191167,4.6788174,25,0,25,100,0
NG75,57.550468,-5.749665,10.5199087,1,0,1,100,0
NG82,57.2855155,-5.60186325,22.979632,4,0,4,100,0
NG83,57.34742557,-5.594155167,34.1462748,50,0,50,100,0
NG84,57.4022938,-5.5895948,12.4623453,5,0,5,100,0
NG85,57.51557081,-5.644262,12.7952581,25,0,25,100,0
NG87,57.687324,-5.619447,49.6639711,1,0,1,100,0
NG88,57.77648,-5.599953889,5.3482486,13,0,13,100,0
NG93,57.39358633,-5.447400556,9.4929822,15,0,15,100,0
NG94,57.405375,-5.479969,9.9624464,2,0,2,100,0
NG97,57.683116,-5.4318955,4.4366928,6,0,6,100,0
NH04,57.48147825,-5.32490525,10.5661853,4,0,4,100,0
NH05,57.56467,-5.30615,17.5468408,1,0,1,100,0
NH06,57.5926,-5.303664,7.0460879,2,0,2,100,0
NH08,57.839455,-5.211648,0.3610231,1,0,1,100,0
NH10,57.067988,-5.017044333,26.5609346,3,0,3,100,0
NH15,57.5142925,-5.1232505,10.0516599,6,0,6,100,0
NH17,57.7665275,-5.034456,3.9423634,2,0,2,100,0
NH18,57.83283424,-5.131340026,14.5408254,56,0,56,100,0
NH19,57.88239181,-5.119725351,11.8094257,98,0,98,100,0
NH20,57.0709213,-4.8363143,32.8548945,17,0,17,100,0
NH22,57.28801394,-4.85361875,50.5031182,18,0,18,100,0
NH23,57.330863,-4.831411,11.0191581,1,0,1,100,0
NH25,57.5375095,-4.8737475,10.5084766,4,0,4,100,0
NH28,57.86423,-4.891754,1.7212943,2,0,2,100,0
NH30,57.11513131,-4.719410278,37.4431191,48,0,48,100,0
NH31,57.17823143,-4.698026429,39.1996911,16,0,16,100,0
NH32,57.3131215,-4.783519286,28.0873369,18,0,18,100,0
NH33,57.36645722,-4.693312111,31.2278317,10,0,10,100,0
NH34,57.430645,-4.83237,3.5756863,1,0,1,100,0
NH35,57.56095957,-4.763015429,14.9955179,7,0,7,100,0
NH36,57.62834221,-4.747682,32.6806746,16,0,16,100,0
NH40,57.145192,-4.635891667,3.0161686,4,0,4,100,0
NH41,57.21197543,-4.576500043,42.0334139,80,0,80,100,0
NH42,57.28442608,-4.514956549,28.491969,84,0,84,100,0
NH43,57.3433701,-4.569236718,39.2145124,59,0,59,100,0
NH44,57.45592983,-4.539985222,29.9090156,89,0,89,100,0
NH45,57.56141415,-4.570450547,37.3741851,119,0,119,100,0
NH46,57.61727188,-4.5708425,35.8788144,9,0,9,100,0
