Year,OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
1905,NH64,57.443635,-4.2534575,0.237866924,2,0,1,0
1905,NO79,57.063716,-2.44107,0.391035075,1,0,1,0
1938,NT08,56.071731,-3.455361,0.078000546,1,0,1,0
1938,NT09,56.115261,-3.569588,0.203375634,1,0,1,0
1947,NT27,55.918014,-3.165574,0.049180864,6,0,1,0
1950,NH18,57.816224,-5.116105,0.145408254,1,0,1,0
1950,NT26,55.856151,-3.150941,0.126153088,1,0,1,0
1954,NT35,55.824936,-2.96725,0.107171669,1,0,1,0
1959,NH66,57.654603,-4.264014,0.259333085,1,0,1,0
1959,NO20,56.244843,-3.236,0.150020785,0,1,0,1
1960,NC31,58.09318,-4.800812,0.091187691,1,0,1,0
1960,NC40,58.007071,-4.624787,0.331932896,1,0,1,0
1960,NH41,57.19949,-4.567188,0.420334139,1,0,1,0
1960,NH45,57.558432,-4.592409,0.373741851,1,0,1,0
1960,NH54,57.472007,-4.419488,0.309971087,1,0,1,0
1960,NH55,57.561751,-4.425441,0.212502391,1,0,1,0
1960,NH56,57.651494,-4.431429,0.37155801,1,0,1,0
1960,NH65,57.564849,-4.258437,0.388778881,1,0,1,0
1960,NH74,57.477962,-4.086266,0.361661226,1,0,1,0
1960,NH81,57.211278,-3.9056,0.195903381,1,0,1,0
1960,NH95,57.572819,-3.757238,0.451913334,1,0,1,0
1960,NJ01,57.215865,-3.574633,0.250164355,1,0,1,0
1960,NJ04,57.485244,-3.586212,0.30954051,1,0,1,0
1960,NJ05,57.575034,-3.590118,0.475231548,1,0,1,0
1960,NJ11,57.217831,-3.409115,0.113378071,1,0,1,0
1960,NJ13,57.397432,-3.416004,0.310360068,1,0,1,0
1960,NJ22,57.309387,-3.246608,0.180855805,1,0,1,0
1960,NJ31,57.22111,-3.078022,0.355215389,1,0,1,0
1960,NJ34,57.490543,-3.085951,0.465102441,1,0,1,0
1960,NJ35,57.580352,-3.088626,0.500497834,1,0,1,0
1960,NJ36,57.670159,-3.091316,0.163872224,1,0,1,0
1960,NJ44,57.491869,-2.919163,0.279418649,1,0,1,0
1960,NM77,56.811912,-5.687791,0.068931735,1,0,1,0
1960,NM94,56.552107,-5.336893,0.32751221,1,0,1,0
1960,NN03,56.466663,-5.16699,0.259587687,1,0,1,0
1960,NN06,56.735762,-5.189608,0.299504326,1,0,1,0
1960,NN15,56.650123,-5.01919,0.098083028,1,0,1,0
1960,NN55,56.664231,-4.367458,0.468128324,1,0,1,0
1960,NN58,56.933505,-4.384499,0.197446678,1,0,1,0
1960,NN65,56.667225,-4.204438,0.174978655,1,0,1,0
1960,NN75,56.670006,-4.041388,0.293447326,1,0,1,0
1960,NO05,56.677068,-3.552077,0.128524074,1,0,1,0
1960,NO09,57.036272,-3.567027,0.14657552,1,0,1,0
1960,NO31,56.322911,-3.05257,0.09870466,0,1,0,1
1960,NO34,56.592385,-3.060051,0.107557369,1,0,1,0
1960,NO36,56.772028,-3.065111,0.159996286,1,0,1,0
1960,NO39,57.041481,-3.072812,0.377846937,1,0,1,0
1960,NO41,56.29645167,-2.894298667,0.065521543,2,1,0.666666667,0.333333333
1960,NO48,56.952964,-2.905855,0.012584188,1,0,1,0
1960,NO50,56.235401,-2.727521,0.023904932,0,1,0,1
1960,NO60,56.236244,-2.566213,0.001012667,0,1,0,1
1960,NT18,56.050286,-3.366244,0.087990007,0,1,0,1
1960,NT27,55.932386,-3.166006,0.049180864,0,1,0,1
1960,NT28,56.051959,-3.205738,0.02795883,0,1,0,1
1960,NT39,56.143254,-3.047654,0.042853529,0,1,0,1
1964,NT27,55.956476,-3.274043,0.049180864,0,1,0,1
1965,NT35,55.810632,-3.117684,0.107171669,1,0,1,0
1966,NO20,56.27257,-3.156151,0.150020785,1,0,1,0
1966,NO21,56.281552,-3.156423,0.13967205,1,0,1,0
1966,NO30,56.273013,-3.107719,0.100008326,1,0,1,0
1966,NO31,56.281995,-3.107979,0.09870466,1,0,1,0
1966,NO52,56.43304,-2.803452,0.007416706,1,0,1,0
1966,NT09,56.115261,-3.569588,0.203375634,1,0,1,0
1967,NO41,56.319267,-2.947378,0.065521543,0,1,0,1
1967,NO42,56.441529,-2.876619,0.220115118,1,0,1,0
1967,NO52,56.428094,-2.804159,0.007416706,1,0,1,0
1968,NT27,55.940622,-3.150243,0.049180864,0,1,0,1
1968,NT28,56.083477,-3.198688,0.02795883,0,1,0,1
1968,NT39,56.165504,-3.072415,0.042853529,0,1,0,1
1969,NT56,55.903908,-2.792476,0.108993043,1,0,1,0
1970,ND13,58.295352,-3.451698,0.036390127,1,0,1,0
1970,NN30,56.230619,-4.675445,0.239134176,0,1,0,1
1970,NO66,56.744369,-2.550129,0.143553007,1,0,1,0
1970,NT08,56.061777,-3.535291,0.078000546,1,0,1,0
1970,NT46,55.843732,-2.855928,0.125584483,0,1,0,1
1971,NO20,56.21208,-3.139013,0.150020785,1,0,1,0
1971,NO30,56.263885,-3.1236,0.100008326,1,0,1,0
1971,NO31,56.2998145,-3.124654,0.09870466,2,0,1,0
1971,NO33,56.489293,-3.032813,0.106139225,0,1,0,1
1971,NT08,56.061777,-3.535291,0.078000546,1,0,1,0
1972,NO66,56.744369,-2.550129,0.143553007,1,0,1,0
1973,NO31,56.302053,-3.125528,0.09870466,1,0,1,0
1973,NT08,56.070242,-3.467353,0.078000546,0,1,0,1
1974,NO20,56.249967,-3.217605,0.150020785,0,1,0,1
1974,NS57,55.986287,-4.360313,0.186779461,1,0,1,0
1975,ND12,58.205566,-3.448031,0.023858554,1,0,1,0
1975,ND13,58.295352,-3.451698,0.036390127,1,0,1,0
1975,NH52,57.292513,-4.407688,0.358523378,1,0,1,0
1975,NH53,57.38226,-4.413571,0.417591511,1,0,1,0
1975,NH63,57.385337,-4.247383,0.463140515,1,0,1,0
1975,NH64,57.475094,-4.252894,0.237866924,1,0,1,0
1975,NH72,57.298427,-4.076088,0.124643966,1,0,1,0
1975,NH73,57.388195,-4.081162,0.305945102,1,0,1,0
1975,NH90,57.123892,-3.735914,0.242609741,1,0,1,0
1975,NH92,57.303467,-3.744369,0.360645539,1,0,1,0
1975,NJ02,57.305659,-3.57847,0.367760037,1,0,1,0
1975,NJ03,57.395452,-3.58233,0.196655844,1,0,1,0
1975,NJ06,57.664822,-3.594046,0.119632158,1,0,1,0
1975,NJ16,57.666823,-3.42649,0.213015693,1,0,1,0
1975,NJ32,57.310923,-3.080649,0.024872891,1,0,1,0
1975,NJ40,57.132604,-2.910239,0.270596315,1,0,1,0
1975,NN53,56.484707,-4.356261,0.179746914,1,0,1,0
1975,NN64,56.577454,-4.199209,0.071799332,1,0,1,0
1975,NN84,56.582784,-3.873853,0.331220158,1,0,1,0
1975,NN86,56.762361,-3.882792,0.422130941,1,0,1,0
1975,NN95,56.674927,-3.715205,0.421215582,1,0,1,0
1975,NO04,56.589659,-3.5362775,0.369788833,2,0,1,0
1975,NO13,56.495843,-3.396437,0.190279153,1,1,0.5,0.5
1975,NO14,56.589183,-3.385631,0.136384102,1,0,1,0
1975,NO15,56.678995,-3.388928,0.245170626,1,0,1,0
1975,NO19,57.038225,-3.402308,0.203243873,1,0,1,0
1975,NO23,56.501072,-3.219957,0.177162768,1,0,1,0
1975,NO25,56.680708,-3.225759,0.208072609,1,0,1,0
1975,NO27,56.860337,-3.23163,0.109615141,1,0,1,0
1975,NO29,57.039961,-3.237569,0.263151057,1,0,1,0
1975,NO30,56.2341635,-3.0799545,0.100008326,1,1,0.5,0.5
1975,NO32,56.406143,-3.037852,0.062492866,1,0,1,0
1975,NO33,56.502562,-3.057543,0.106139225,1,0,1,0
1975,NO35,56.682207,-3.062574,0.112913192,1,0,1,0
1975,NO41,56.322167,-2.857712,0.065521543,0,1,0,1
1975,NO43,56.503838,-2.895115,0.044310792,1,0,1,0
1975,NO44,56.593666,-2.897238,0.104656114,1,0,1,0
1975,NO45,56.683493,-2.899374,0.094206324,1,0,1,0
1975,NO46,56.773318,-2.901522,0.092299112,1,0,1,0
1975,NO49,57.042785,-2.908041,0.421568064,1,0,1,0
1975,NT26,55.85852483,-3.200271167,0.126153088,0,6,0,1
1975,NT29,56.12134,-3.137938,0.119626288,0,1,0,1
1975,NT39,56.177497,-3.088052,0.042853529,0,1,0,1
1976,NO14,56.554597,-3.38518,0.136384102,0,1,0,1
1976,NT26,55.851494,-3.168374,0.126153088,0,1,0,1
1976,NT46,55.882806,-2.857587,0.125584483,2,0,1,0
1976,NT57,55.939058,-2.775584,0.08262098,1,0,1,0
1977,NN60,56.2041252,-4.118131,0.317673331,1,4,0.2,0.8
1977,NN70,56.220939,-4.0254835,0.30401815,1,1,0.5,0.5
1977,NS59,56.1084335,-4.292995,0.342263416,0,2,0,1
1977,NS68,56.0648705,-4.218119,0.279522954,0,2,0,1
1977,NS69,56.1158042,-4.1325756,0.126435046,1,4,0.2,0.8
1977,NS78,56.07058867,-3.969409667,0.278273626,0,3,0,1
1977,NS79,56.1148316,-3.9748936,0.158513647,0,10,0,1
1977,NS89,56.1193635,-3.915598,0.104547794,0,2,0,1
1977,NT26,55.86898,-3.218439,0.126153088,0,1,0,1
1977,NT46,55.886793,-2.865669,0.125584483,2,0,1,0
1978,NO41,56.329172,-2.818249,0.065521543,0,1,0,1
1978,NO51,56.338261,-2.802268,0.031802716,1,0,1,0
1978,NS65,55.766476,-4.193963,0.120713864,0,1,0,1
1979,NJ70,57.099952,-2.344118,0.271022756,1,0,1,0
1979,NN40,56.183073,-4.454571,0.477586155,0,1,0,1
1979,NN50,56.227216,-4.260566,0.527976203,0,1,0,1
1979,NN60,56.248071,-4.200457,0.317673331,0,1,0,1
1979,NN70,56.193345,-4.037752,0.30401815,1,0,1,0
1979,NO42,56.41884083,-2.854631167,0.220115118,6,0,1,0
1979,NO50,56.257515,-2.784436,0.023904932,1,0,1,0
1979,NO51,56.338261,-2.802268,0.031802716,1,0,1,0
1979,NO52,56.4325855,-2.8042535,0.007416706,2,0,1,0
1979,NS58,56.0345005,-4.38854125,0.164378909,0,4,0,1
1979,NS59,56.16252,-4.259984,0.342263416,0,1,0,1
1979,NS69,56.130047,-4.166353,0.126435046,0,1,0,1
1979,NS78,56.083921,-3.969289,0.278273626,0,1,0,1
1979,NS79,56.1480145,-4.0063485,0.158513647,1,1,0.5,0.5
1979,NT19,56.14751567,-3.349304333,0.170236278,1,2,0.333333333,0.666666667
1980,NJ95,57.544608,-2.060126,0.115319629,2,0,1,0
