Year,OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover (%),CountRed,CountGrey,Count,Red%,Grey%
2008,NH05,57.56467,-5.30615,17.5468408,1,0,1,100,0
2008,NH15,57.50567,-5.080381,10.0516599,3,0,3,100,0
2008,NH18,57.8571,-5.118712,14.5408254,1,0,1,100,0
2008,NH20,57.074416,-4.844838,32.8548945,1,0,1,100,0
2008,NH22,57.284507,-4.854402,50.5031182,1,0,1,100,0
2008,NH28,57.86423,-4.891754,1.7212943,2,0,2,100,0
2008,NH30,57.1054355,-4.7438975,37.4431191,2,0,2,100,0
2008,NH31,57.209646,-4.6829905,39.1996911,2,0,2,100,0
2008,NH41,57.200195,-4.510116,42.0334139,1,0,1,100,0
2008,NH43,57.339015,-4.577752,39.2145124,1,0,1,100,0
2008,NH44,57.44174833,-4.548866333,29.9090156,3,0,3,100,0
2008,NH45,57.57875833,-4.563073,37.3741851,14,0,14,100,0
2008,NH46,57.661023,-4.518411,35.8788144,2,0,2,100,0
2008,NH50,57.103394,-4.358251,0.7740259,2,0,2,100,0
2008,NH52,57.28642029,-4.447230571,35.8523378,8,0,8,100,0
2008,NH53,57.337394,-4.47959,41.7591511,1,0,1,100,0
2008,NH54,57.44729288,-4.454092875,30.9971087,8,0,8,100,0
2008,NH55,57.55528,-4.473217667,21.2502391,4,0,4,100,0
2008,NH59,57.895664,-4.512871,42.483401,1,0,1,100,0
2008,NH62,57.304374,-4.2772895,15.6247945,2,0,2,100,0
2008,NH63,57.39489975,-4.24088975,46.3140515,8,0,8,100,0
2008,NH64,57.47406942,-4.247806917,23.7866924,20,0,20,100,0
2008,NH65,57.58326657,-4.294350857,38.8778881,16,0,16,100,0
2008,NH66,57.65136833,-4.251265,25.9333085,3,0,3,100,0
2008,NH70,57.08315667,-4.053038222,8.341286,20,0,20,100,0
2008,NH72,57.3211035,-4.0076075,12.4643966,3,0,3,100,0
2008,NH73,57.38699633,-4.056353556,30.5945102,14,0,14,100,0
2008,NH74,57.49331809,-4.098284273,36.1661226,29,2,31,93.5483871,6.4516129
2008,NH75,57.57591567,-4.093863667,6.8936027,3,0,3,100,0
