Year,OSGR10km,Type,Species,Latitude(WGS84),Longitude(WGS84),Count,Forest Cover(%)
1905,NH64,Red,Red,57.443635,-4.2534575,2,0.237866924
1905,NO79,Red,Red,57.063716,-2.44107,1,0.391035075
1938,NT08,Red,Red,56.071731,-3.455361,1,0.078000546
1938,NT09,Red,Red,56.115261,-3.569588,1,0.203375634
1947,NT27,Red,Red,55.918014,-3.165574,6,0.049180864
1950,NH18,Red,Red,57.816224,-5.116105,1,0.145408254
1950,NT26,Red,Red,55.856151,-3.150941,1,0.126153088
1954,NT35,Red,Red,55.824936,-2.96725,1,0.107171669
1959,NH66,Red,Red,57.654603,-4.264014,1,0.259333085
1959,NO20,Grey,Grey,56.244843,-3.236,1,0.150020785
1960,NC31,Red,Red,58.09318,-4.800812,1,0.091187691
1960,NC40,Red,Red,58.007071,-4.624787,1,0.331932896
1960,NH41,Red,Red,57.19949,-4.567188,1,0.420334139
1960,NH45,Red,Red,57.558432,-4.592409,1,0.373741851
1960,NH54,Red,Red,57.472007,-4.419488,1,0.309971087
1960,NH55,Red,Red,57.561751,-4.425441,1,0.212502391
1960,NH56,Red,Red,57.651494,-4.431429,1,0.37155801
1960,NH65,Red,Red,57.564849,-4.258437,1,0.388778881
1960,NH74,Red,Red,57.477962,-4.086266,1,0.361661226
1960,NH81,Red,Red,57.211278,-3.9056,1,0.195903381
1960,NH95,Red,Red,57.572819,-3.757238,1,0.451913334
1960,NJ01,Red,Red,57.215865,-3.574633,1,0.250164355
1960,NJ04,Red,Red,57.485244,-3.586212,1,0.30954051
1960,NJ05,Red,Red,57.575034,-3.590118,1,0.475231548
1960,NJ11,Red,Red,57.217831,-3.409115,1,0.113378071
1960,NJ13,Red,Red,57.397432,-3.416004,1,0.310360068
1960,NJ22,Red,Red,57.309387,-3.246608,1,0.180855805
1960,NJ31,Red,Red,57.22111,-3.078022,1,0.355215389
1960,NJ34,Red,Red,57.490543,-3.085951,1,0.465102441
1960,NJ35,Red,Red,57.580352,-3.088626,1,0.500497834
1960,NJ36,Red,Red,57.670159,-3.091316,1,0.163872224
1960,NJ44,Red,Red,57.491869,-2.919163,1,0.279418649
1960,NM77,Red,Red,56.811912,-5.687791,1,0.068931735
1960,NM94,Red,Red,56.552107,-5.336893,1,0.32751221
1960,NN03,Red,Red,56.466663,-5.16699,1,0.259587687
1960,NN06,Red,Red,56.735762,-5.189608,1,0.299504326
1960,NN15,Red,Red,56.650123,-5.01919,1,0.098083028
1960,NN55,Red,Red,56.664231,-4.367458,1,0.468128324
1960,NN58,Red,Red,56.933505,-4.384499,1,0.197446678
1960,NN65,Red,Red,56.667225,-4.204438,1,0.174978655
1960,NN75,Red,Red,56.670006,-4.041388,1,0.293447326
1960,NO05,Red,Red,56.677068,-3.552077,1,0.128524074
1960,NO09,Red,Red,57.036272,-3.567027,1,0.14657552
1960,NO31,Grey,Grey,56.322911,-3.05257,1,0.09870466
1960,NO34,Red,Red,56.592385,-3.060051,1,0.107557369
1960,NO36,Red,Red,56.772028,-3.065111,1,0.159996286
1960,NO39,Red,Red,57.041481,-3.072812,1,0.377846937
