Year,OSGR10km,Type,Species,Latitude(WGS84),Longitude(WGS84),Count,Forest Cover (%)
2008,NH05,Red,Red,57.56467,-5.30615,1,0.175468408
2008,NH15,Red,Red,57.50567,-5.080381,3,0.100516599
2008,NH18,Red,Red,57.8571,-5.118712,1,0.145408254
2008,NH20,Red,Red,57.074416,-4.844838,1,0.328548945
2008,NH22,Red,Red,57.284507,-4.854402,1,0.505031182
2008,NH28,Red,Red,57.86423,-4.891754,2,0.017212943
2008,NH30,Red,Red,57.1054355,-4.7438975,2,0.374431191
2008,NH31,Red,Red,57.209646,-4.6829905,2,0.391996911
2008,NH41,Red,Red,57.200195,-4.510116,1,0.420334139
2008,NH43,Red,Red,57.339015,-4.577752,1,0.392145124
2008,NH44,Red,Red,57.44174833,-4.548866333,3,0.299090156
2008,NH45,Red,Red,57.57875833,-4.563073,14,0.373741851
2008,NH46,Red,Red,57.661023,-4.518411,2,0.358788144
2008,NH50,Red,Red,57.103394,-4.358251,2,0.007740259
2008,NH52,Red,Red,57.28642029,-4.447230571,8,0.358523378
2008,NH53,Red,Red,57.337394,-4.47959,1,0.417591511
2008,NH54,Red,Red,57.44729288,-4.454092875,8,0.309971087
2008,NH55,Red,Red,57.55528,-4.473217667,4,0.212502391
2008,NH59,Red,Red,57.895664,-4.512871,1,0.42483401
2008,NH62,Red,Red,57.304374,-4.2772895,2,0.156247945
2008,NH63,Red,Red,57.39489975,-4.24088975,8,0.463140515
2008,NH64,Red,Red,57.47406942,-4.247806917,20,0.237866924
2008,NH65,Red,Red,57.58326657,-4.294350857,16,0.388778881
2008,NH66,Red,Red,57.65136833,-4.251265,3,0.259333085
2008,NH70,Red,Red,57.08315667,-4.053038222,20,0.08341286
2008,NH72,Red,Red,57.3211035,-4.0076075,3,0.124643966
2008,NH73,Red,Red,57.38699633,-4.056353556,14,0.305945102
2008,NH74,Grey,Grey,57.50303,-4.118576,2,0.361661226
2008,NH74,Red,Red,57.49285562,-4.097318,29,0.361661226
