Year,OSGR10km,Type,Count,Longitude(WGS84),Latitude(WGS84),Forest Cover (%)
2008,NH15,Red,3,-5.08038,57.50567,10.05165994
2008,NH18,Red,1,-5.11871,57.8571,14.54082537
2008,NH20,Red,1,-4.84484,57.07442,32.85489454
2008,NH22,Red,1,-4.8544,57.28451,50.50311818
2008,NH28,Red,2,-4.89175,57.86423,1.721294259
2008,NH30,Red,2,-4.7439,57.10544,37.44311907
2008,NH31,Red,3,-4.677726667,57.21320333,39.19969112
2008,NH32,Red,1,-4.82036,57.31673,28.0873369
2008,NH36,Red,1,-4.77736,57.62684,32.68067456
2008,NH41,Red,2,-4.56964,57.210655,42.03341385
2008,NH43,Red,3,-4.611835,57.339205,39.21451235
2008,NH44,Red,2,-4.55088,57.43077,29.90901559
2008,NH45,Red,17,-4.5627275,57.57641583,37.37418506
2008,NH46,Red,2,-4.51841,57.66102,35.87881438
2008,NH52,Red,13,-4.448847778,57.28617667,35.85233783
2008,NH53,Red,1,-4.47147,57.34025,41.75915114
2008,NH54,Red,16,-4.443393333,57.4555875,30.99710867
2008,NH55,Red,10,-4.45168375,57.55090375,21.25023912
2008,NH59,Red,1,-4.51287,57.89566,42.48340099
2008,NH62,Red,2,-4.27729,57.304375,15.62479448
2008,NH63,Red,14,-4.231687143,57.38722571,46.31405152
2008,NH64,Grey,1,-4.17368,57.44728,23.78669235
2008,NH64,Red,28,-4.240406667,57.47744867,23.78669235
2008,NH65,Red,13,-4.298864286,57.57535286,38.87788806
2008,NH66,Red,3,-4.251263333,57.65137,25.93330849
2008,NH70,Red,33,-4.049902308,57.08344846,8.34128599
2008,NH72,Red,1,-3.99924,57.33516,12.46439657
2008,NH73,Red,18,-4.065038333,57.38942583,30.59451021
2008,NH74,Red,37,-4.09023,57.48965444,36.16612256
2008,NH75,Red,2,-4.123435,57.600885,6.893602655
2008,NH79,Red,2,-4.19465,57.96266,28.49275187
2008,NH80,Red,39,-3.898736471,57.12939824,48.214815
2008,NH81,Red,22,-3.845335,57.19102333,19.59033815
2008,NH82,Red,10,-3.940002,57.291968,19.65842356
2008,NH84,Red,8,-3.92949,57.5177425,35.03741439
2008,NH85,Red,30,-3.909731429,57.56553143,16.61219593
2008,NH87,Red,1,-3.98432,57.70467,5.259405185
2008,NH90,Red,31,-3.734006364,57.15731182,24.26097414
2008,NH91,Red,67,-3.762779545,57.21482818,57.66995836
2008,NH92,Red,56,-3.728659189,57.28877189,36.06455388
2008,NH93,Red,1,-3.71136,57.39691,6.975034839
2008,NH95,Red,13,-3.7234575,57.5831675,45.1913334
2008,NH96,Red,1,-3.67981,57.65248,13.57269679
2008,NJ01,Red,10,-3.646025,57.25718,25.01643551
2008,NJ02,Red,109,-3.631788714,57.28970271,36.77600373
2008,NJ03,Red,4,-3.570655,57.366685,19.66558445
2008,NJ05,Red,9,-3.621994286,57.60690571,47.52315482
2008,NJ06,Red,17,-3.596908,57.653996,11.96321578
2008,NJ11,Red,1,-3.38722,57.2302,11.33780715
2008,NJ13,Red,4,-3.4615675,57.39242,31.03600684
2008,NJ14,Red,2,-3.33849,57.48497,40.17730917
2008,NJ15,Red,5,-3.449736667,57.57702333,46.65036575
2008,NJ16,Red,13,-3.44246,57.67359375,21.3015693
2008,NJ20,Red,3,-3.19948,57.16206,6.223691137
2008,NJ22,Red,1,-3.25888,57.35284,18.08558046
2008,NJ23,Red,1,-3.29185,57.43964,23.18083634
2008,NJ24,Red,16,-3.23095,57.47213,54.91674545
2008,NJ25,Red,10,-3.276755,57.596095,39.39811593
2008,NJ26,Red,28,-3.258630588,57.68484941,20.60485042
2008,NJ27,Red,1,-3.2858,57.71774,0.056471775
2008,NJ30,Red,4,-3.09556,57.125315,15.16314888
2008,NJ31,Red,11,-3.067744,57.21097,35.52153893
2008,NJ34,Red,2,-3.056605,57.514595,46.51024408
2008,NJ35,Red,10,-3.08290375,57.5954975,50.04978343
2008,NJ36,Red,5,-3.0807025,57.63746,16.3872224
2008,NJ40,Red,3,-2.844583333,57.1395,27.05963155
2008,NJ41,Red,7,-2.872205,57.2123925,19.88644662
2008,NJ44,Red,5,-2.86652,57.486754,27.9418649
2008,NJ50,Red,7,-2.740416667,57.142625,30.01773526
2008,NJ51,Grey,12,-2.698545556,57.24200667,19.51118331
2008,NJ51,Red,3,-2.743883333,57.22855667,19.51118331
2008,NJ53,Red,6,-2.774436667,57.44567667,23.83603782
2008,NJ54,Red,17,-2.815427143,57.47275571,27.87688441
2008,NJ55,Red,1,-2.83599,57.53871,23.09535805
2008,NJ56,Red,2,-2.78332,57.65313,13.33282518
2008,NJ60,Red,21,-2.59445,57.12342818,26.05729921
2008,NJ61,Grey,18,-2.571641667,57.25632389,39.0690039
2008,NJ61,Red,52,-2.59125359,57.24057667,39.0690039
2008,NJ62,Red,12,-2.552312222,57.28340778,28.10178049
2008,NJ64,Red,1,-2.66045,57.53077,11.63815453
2008,NJ65,Red,5,-2.51005,57.58855,11.52239976
2008,NJ66,Red,8,-2.533018,57.655328,4.754388195
2008,NJ70,Grey,3,-2.33995,57.09502,27.10227556
2008,NJ70,Red,6,-2.398473333,57.152855,27.10227556
2008,NJ71,Grey,31,-2.457296786,57.23350429,17.82615559
2008,NJ71,Red,39,-2.428084,57.2374512,17.82615559
2008,NJ72,Red,7,-2.396493333,57.28993,8.647064881
2008,NJ73,Red,16,-2.44202,57.421005,10.27446577
2008,NJ75,Red,5,-2.458748,57.559508,9.166340121
2008,NJ76,Red,3,-2.49569,57.63347,0.73062477
2008,NJ80,Grey,203,-2.204046203,57.12362361,14.58010168
2008,NJ80,Red,21,-2.260673333,57.14116933,14.58010168
2008,NJ81,Grey,118,-2.177111333,57.18569276,15.6304331
2008,NJ81,Red,13,-2.260727692,57.21953308,15.6304331
2008,NJ82,Grey,5,-2.2524925,57.3055425,7.062034211
2008,NJ82,Red,4,-2.211696667,57.32302,7.062034211
2008,NJ83,Grey,3,-2.252623333,57.39690333,11.6073865
2008,NJ83,Red,38,-2.261050714,57.42470786,11.6073865
2008,NJ84,Red,2,-2.26725,57.46049,6.500095223
2008,NJ90,Grey,410,-2.149185762,57.12361927,5.383148939
2008,NJ90,Red,2,-2.12816,57.17672,5.383148939
2008,NJ91,Grey,8,-2.118704,57.214988,6.379574732
2008,NJ91,Red,1,-2.16306,57.2135,6.379574732
2008,NJ93,Red,22,-2.079408182,57.36825455,9.321585904
2008,NK03,Red,1,-1.97896,57.37661,5.66534156
2008,NM66,Red,5,-5.792196,56.73388,18.61514476
2008,NM70,Red,1,-5.55626,56.20931,6.841044361
2008,NM76,Red,1,-5.71529,56.71714,28.81378222
2008,NM77,Red,1,-5.73037,56.78682,6.893173521
2008,NM82,Red,2,-5.45344,56.41092,28.60444156
2008,NM83,Red,7,-5.461886667,56.43255667,7.63755531
2008,NN00,Red,1,-5.0681,56.17655,54.46493862
2008,NN03,Red,1,-5.23932,56.42929,25.95876875
2008,NN04,Red,3,-5.21624,56.56877,14.06238692
2008,NN05,Red,4,-5.18546,56.670125,37.34752926
2008,NN06,Red,17,-5.200277778,56.70627222,29.9504326
2008,NN10,Red,2,-4.9014,56.1671,43.60123567
2008,NN16,Red,18,-4.96854625,56.7141475,25.38023582
2008,NN17,Grey,1,-5.10253,56.82021,31.09643591
2008,NN17,Red,5,-5.075896,56.819248,31.09643591
2008,NN23,Red,1,-4.76539,56.51536,34.68893181
2008,NN28,Red,1,-4.95403,56.93257,28.15805965
2008,NN30,Red,3,-4.716016667,56.21865,23.91341763
2008,NN31,Red,1,-4.70761,56.27486,10.69002791
2008,NN40,Red,34,-4.457678966,56.18567448,47.75861553
2008,NN50,Red,53,-4.372689231,56.18512038,52.79762028
2008,NN51,Red,41,-4.336161818,56.32932636,38.89665881
2008,NN53,Red,3,-4.340325,56.4895,17.97469143
2008,NN57,Red,1,-4.33454,56.88368,5.512445524
2008,NN60,Grey,34,-4.220885,56.2386075,31.76733312
2008,NN60,Red,23,-4.218916364,56.23238273,31.76733312
2008,NN61,Red,1,-4.19655,56.26432,3.896096438
2008,NN62,Grey,8,-4.14812,56.39413,8.411962309
2008,NN62,Red,13,-4.146158333,56.39048667,8.411962309
