OSGR10km,Year,Count Red,Count Grey,Latitude(WGS84),Longitude(WGS84),Ratio Red/Grey,Forest Cover (%)
NC10,2016,1,0,58.0006,-5.09234,1,12.57258554
NC10,2017,4,0,57.97287,-5.12378,1,12.57258554
NC14,2017,1,0,58.35153,-5.14863,1,3.692891547
NC30,2016,1,0,57.9706,-4.71429,1,39.51329643
NC40,2014,1,0,57.96848,-4.54494,1,33.19328964
NC40,2015,2,0,57.976385,-4.54305,1,33.19328964
NC40,2016,1,0,57.97983,-4.57289,1,33.19328964
NC40,2017,1,0,57.97306,-4.55211,1,33.19328964
NC50,2015,2,0,57.99541,-4.46566,1,34.42179709
NC50,2017,2,0,57.96715,-4.53309,1,34.42179709
NG72,2017,1,0,57.28227,-5.66753,1,40.29275026
NG73,2017,1,0,57.31728,-5.66936,1,4.678817426
NG82,2017,1,0,57.28268,-5.55967,1,22.979632
NG83,2017,1,0,57.36054,-5.5722,1,34.1462748
NG85,2016,1,0,57.51193,-5.65382,1,12.79525806
NG85,2017,3,0,57.510425,-5.64365,1,12.79525806
NH06,2017,2,0,57.5926,-5.30366,1,7.046087864
NH08,2015,1,0,57.83946,-5.21165,1,0.361023141
NH10,2011,2,0,57.06719,-5.01918,1,26.56093464
NH15,2008,3,0,57.50567,-5.08038,1,10.05165994
NH15,2011,3,0,57.52292,-5.16612,1,10.05165994
NH17,2012,1,0,57.76826,-5.03712,1,3.942363439
NH18,2008,1,0,57.8571,-5.11871,1,14.54082537
NH18,2009,4,0,57.82698,-5.17339,1,14.54082537
NH18,2010,17,0,57.82590143,-5.159601429,1,14.54082537
NH18,2011,8,0,57.82811167,-5.168498333,1,14.54082537
NH18,2012,1,0,57.80549,-5.05878,1,14.54082537
NH18,2013,2,0,57.79017,-5.04532,1,14.54082537
NH18,2015,3,0,57.82241,-5.101763333,1,14.54082537
NH18,2016,5,0,57.833152,-5.118076,1,14.54082537
NH18,2017,5,0,57.8435025,-5.13025,1,14.54082537
NH19,2009,1,0,57.87109,-5.098,1,11.80942569
NH19,2010,1,0,57.90286,-5.15813,1,11.80942569
NH19,2011,1,0,57.87639,-5.10183,1,11.80942569
NH19,2012,4,0,57.88484333,-5.121766667,1,11.80942569
NH19,2013,2,0,57.880865,-5.12804,1,11.80942569
NH19,2015,5,0,57.8704,-5.094992,1,11.80942569
NH19,2016,25,0,57.87493429,-5.106854286,1,11.80942569
NH19,2017,41,0,57.88123769,-5.117845769,1,11.80942569
NH20,2008,1,0,57.07442,-4.84484,1,32.85489454
NH20,2010,4,0,57.069285,-4.815485,1,32.85489454
NH20,2011,2,0,57.07453,-4.8399,1,32.85489454
NH20,2015,3,0,57.07947,-4.917845,1,32.85489454
NH22,2008,1,0,57.28451,-4.8544,1,50.50311818
NH22,2010,4,0,57.2911775,-4.8590075,1,50.50311818
NH22,2012,2,0,57.29329,-4.82354,1,50.50311818
NH22,2015,1,0,57.29856,-4.86877,1,50.50311818
NH22,2016,2,0,57.24721,-4.91286,1,50.50311818
NH22,2017,5,0,57.286516,-4.844934,1,50.50311818
NH23,2012,1,0,57.33086,-4.83141,1,11.01915808
NH25,2015,3,0,57.53404667,-4.881133333,1,10.50847661
NH28,2008,2,0,57.86423,-4.89175,1,1.721294259
NH28,2015,2,0,57.77837,-5.02788,1,1.721294259
NH30,2008,2,0,57.10544,-4.7439,1,37.44311907
NH30,2009,1,0,57.07091,-4.80324,1,37.44311907
NH30,2010,4,0,57.09672667,-4.75313,1,37.44311907
NH30,2011,5,0,57.09606,-4.747913333,1,37.44311907
NH30,2012,6,0,57.07634,-4.77237,1,37.44311907
NH30,2013,6,0,57.09484333,-4.75679,1,37.44311907
NH30,2014,2,0,57.108265,-4.715565,1,37.44311907
NH30,2015,1,0,57.08269,-4.75634,1,37.44311907
NH30,2016,5,0,57.13932333,-4.70049,1,37.44311907
NH30,2017,3,0,57.12192667,-4.71459,1,37.44311907
NH31,2008,3,0,57.21320333,-4.677726667,1,39.19969112
NH31,2010,1,0,57.17704,-4.79969,1,39.19969112
NH31,2011,2,0,57.17742,-4.70839,1,39.19969112
NH31,2015,4,0,57.1807125,-4.6908375,1,39.19969112
NH31,2016,2,0,57.18275,-4.680215,1,39.19969112
NH32,2008,1,0,57.31673,-4.82036,1,28.0873369
